"","RK","NAME","TEAM","SALARY","POSITION"
"128","128","Austin Reaves","Los Angeles Lakers",12015150,"SG"
"129","129","Herbert Jones","New Orleans Pelicans",12015150,"SF"
"130","130","Chris Boucher","Toronto Raptors",11750000,"PF"
"131","131","Nicolas Batum","Philadelphia 76ers",11710818,"PF"
"132","132","Bobby Portis","Milwaukee Bucks",11710818,"F"
"133","133","Robert Covington","Philadelphia 76ers",11692308,"PF"
"134","134","Paolo Banchero","Orlando Magic",11608080,"PF"
"135","135","Robert Williams III","Portland Trail Blazers",11571429,"C"
"136","136","Coby White","Chicago Bulls",11111111,"PG"
"137","137","Cade Cunningham","Detroit Pistons",11055240,"PG"
"138","138","Talen Horton-Tucker","Utah Jazz",11020000,"SG"
"139","139","P.J. Tucker","LA Clippers",11014500,"PF"
"140","140","Joe Ingles","Orlando Magic",1.1e+07,"SG"
"141","141","Maxi Kleber","Dallas Mavericks",1.1e+07,"PF"
"142","142","Donte DiVincenzo","New York Knicks",10960000,"SG"
"143","143","Ivica Zubac","LA Clippers",10933333,"C"
"144","144","LaMelo Ball","Charlotte Hornets",10900635,"PG"
"145","145","Brandon Miller","Charlotte Hornets",10880400,"F"
"146","146","Terance Mann","LA Clippers",10576923,"SG"
"147","147","Matisse Thybulle","Portland Trail Blazers",10500000,"SG"
"148","148","Gabe Vincent","Los Angeles Lakers",10500000,"PG"
"149","149","Alec Burks","New York Knicks",10489600,"SG"
"150","150","Chet Holmgren","Oklahoma City Thunder",10386000,"PF"
"151","151","Larry Nance Jr.","New Orleans Pelicans",10375000,"PF"
"152","152","Landry Shamet","Washington Wizards",10250000,"SG"
"153","153","Al Horford","Boston Celtics",1e+07,"C"
"154","154","Malik Monk","Sacramento Kings",9945830,"SG"
"155","155","Tre Jones","San Antonio Spurs",9895833,"PG"
"156","156","Jalen Green","Houston Rockets",9891480,"SG"
"157","157","Patrick Williams","Chicago Bulls",9835881,"PF"
"158","158","Monte Morris","Minnesota Timberwolves",9800926,"PG"
"159","159","Scoot Henderson","Portland Trail Blazers",9770880,"G"
"160","160","Nic Claxton","Brooklyn Nets",9625000,"C"
"161","161","Jeff Green","Houston Rockets",9600000,"PF"
"162","162","Royce O'Neale","Phoenix Suns",9500000,"PF"
"163","163","Alex Caruso","Chicago Bulls",9460000,"SG"
"164","164","Victor Oladipo","Memphis Grizzlies",9450000,"SG"
"165","165","Pat Connaughton","Milwaukee Bucks",9423869,"SG"
"166","166","Jabari Smith Jr.","Houston Rockets",9326520,"PF"
"167","167","Isaiah Hartenstein","New York Knicks",9245121,"C"
"168","168","Anthony Edwards","Minnesota Timberwolves",9219512,"SG"
"169","169","Kyle Anderson","Minnesota Timberwolves",9219512,"SF"
"170","170","Grayson Allen","Phoenix Suns",8925000,"SG"
"171","171","Isaac Okoro","Cleveland Cavaliers",8920795,"SF"
"172","172","Evan Mobley","Cleveland Cavaliers",8882760,"PF"
"173","173","Amen Thompson","Houston Rockets",8809320,"F"
"174","174","Georges Niang","Cleveland Cavaliers",8800000,"SF"
"175","175","Gary Payton II","Golden State Warriors",8715000,"SG"
"176","176","T.J. McConnell","Indiana Pacers",8700000,"PG"
"177","177","Keegan Murray","Sacramento Kings",8409000,"SF"
"178","178","Onyeka Okongwu","Atlanta Hawks",8109063,"PF"
"179","179","Scottie Barnes","Toronto Raptors",8008560,"SF"
"180","180","Trey Lyles","Sacramento Kings",8e+06,"PF"
"181","181","De'Anthony Melton","Philadelphia 76ers",8e+06,"SG"
"182","182","Moritz Wagner","Orlando Magic",8e+06,"C"
"183","183","Jock Landale","Houston Rockets",8e+06,"C"
"184","184","Ausar Thompson","Detroit Pistons",7977480,"F"
"185","185","Miles Bridges","Charlotte Hornets",7921301,"SF"
"186","186","Vasilije Micic","Charlotte Hornets",7723000,"G"
"187","187","Paul Reed","Philadelphia 76ers",7723000,"SF"
"188","188","Zach Collins","San Antonio Spurs",7700000,"PF"
"189","189","Jaden Ivey","Detroit Pistons",7641480,"PG"
"190","190","Cody Martin","Charlotte Hornets",7560000,"SF"
"191","191","Kevon Looney","Golden State Warriors",7500000,"F"
"192","192","Taurean Prince","Los Angeles Lakers",7455000,"PF"
"193","193","Killian Hayes","Detroit Pistons",7413955,"PG"
"194","194","Jalen Suggs","Orlando Magic",7252080,"SG"
"195","195","Anthony Black","Orlando Magic",7245480,"G"
"196","196","Khem Birch","San Antonio Spurs",6985000,"C"
"197","197","Bennedict Mathurin","Indiana Pacers",6916080,"SG"
"198","198","Obi Toppin","Indiana Pacers",6803012,"PF"
"199","199","Caleb Martin","Miami Heat",6802950,"SF"
"200","200","Cedi Osman","San Antonio Spurs",6718842,"SF"
"201","201","Bilal Coulibaly","Washington Wizards",6614280,"SG"
"202","202","Josh Giddey","Oklahoma City Thunder",6587040,"SG"
"203","203","Cameron Payne","Philadelphia 76ers",6500000,"PG"
"204","204","Jae'Sean Tate","Houston Rockets",6500000,"SF"
"205","205","Ayo Dosunmu","Chicago Bulls",6481481,"SG"
"206","206","Rudy Gay","Golden State Warriors",6479000,"SF"
"207","207","Sasha Vezenkov","Sacramento Kings",6341464,"F"
"208","208","Shaedon Sharpe","Portland Trail Blazers",6313800,"SG"
"209","209","Otto Porter Jr.","Toronto Raptors",6300000,"SF"
"210","210","Deni Avdija","Washington Wizards",6263188,"SF"
"211","211","Nassir Little","Phoenix Suns",6250000,"SF"
"212","212","Jevon Carter","Chicago Bulls",6190476,"PG"
"213","213","Kenrich Williams","Oklahoma City Thunder",6175000,"SF"
"214","214","Ricky Rubio","Cleveland Cavaliers",6146342,"PG"
"215","215","Jarace Walker","Indiana Pacers",6059520,"F"
"216","216","Jonathan Kuminga","Golden State Warriors",6012840,"PF"
"217","217","Devin Vassell","San Antonio Spurs",5887899,"SG"
"218","218","Tyrese Haliburton","Indiana Pacers",5808435,"PG"
"219","219","Dyson Daniels","New Orleans Pelicans",5784120,"G"
"220","220","Kira Lewis Jr.","Utah Jazz",5722116,"PG"
"221","221","Dean Wade","Cleveland Cavaliers",5709877,"PF"
"222","222","Aaron Nesmith","Indiana Pacers",5634257,"SF"
"223","223","Jalen Smith","Indiana Pacers",5604192,"PF"
"224","224","Taylor Hendricks","Utah Jazz",5569920,"F"
"225","225","Cole Anthony","Orlando Magic",5539771,"PG"
"226","226","Franz Wagner","Orlando Magic",5508720,"SF"
"227","227","Garrett Temple","Toronto Raptors",5401000,"SF"
"228","228","Furkan Korkmaz","Philadelphia 76ers",5370370,"SG"
"229","229","Jeremy Sochan","San Antonio Spurs",5316960,"F"
"230","230","Cason Wallace","Oklahoma City Thunder",5291000,"G"
"231","231","Chuma Okeke","Orlando Magic",5266713,"PF"
"232","232","Isaiah Stewart","Detroit Pistons",5266713,"C"
"233","233","Davion Mitchell","Sacramento Kings",5063760,"PG"
"234","234","Johnny Davis","Washington Wizards",5050800,"G"
"235","235","Jett Howard","Orlando Magic",5026800,"G"
"236","236","Nick Richards","Charlotte Hornets",5e+06,"C"
"237","237","Mason Plumlee","LA Clippers",5e+06,"C"
"238","238","Reggie Jackson","Denver Nuggets",5e+06,"PG"
"239","239","Ziaire Williams","Memphis Grizzlies",4810200,"F"
"240","240","Ousmane Dieng","Oklahoma City Thunder",4798440,"F"
"241","241","Dereck Lively II","Dallas Mavericks",4775640,"C"
"242","242","Josh Green","Dallas Mavericks",4765339,"SG"
"243","243","Jarred Vanderbilt","Los Angeles Lakers",4698000,"PF"
"244","244","Nickeil Alexander-Walker","Minnesota Timberwolves",4687500,"SG"
"245","245","James Bouknight","Charlotte Hornets",4570080,"SG"
"246","246","Jalen Williams","Oklahoma City Thunder",4558680,"F"
"247","247","Saddiq Bey","Atlanta Hawks",4556983,"SF"
"248","248","Gradey Dick","Toronto Raptors",4536720,"G"
"249","249","Jalen McDaniels","Toronto Raptors",4516000,"PF"
"250","250","Precious Achiuwa","New York Knicks",4379527,"PF"
"251","251","Tyrese Maxey","Philadelphia 76ers",4343920,"PG"
"252","252","Jalen Duren","Detroit Pistons",4330680,"C"
"253","253","Danuel House Jr.","Philadelphia 76ers",4310250,"SF"
"254","254","Jordan Hawkins","New Orleans Pelicans",4310160,"G"
"255","255","Zeke Nnaji","Denver Nuggets",4306281,"PF"
"256","256","Immanuel Quickley","Toronto Raptors",4171548,"SG"
"257","257","Chris Duarte","Sacramento Kings",4124400,"SG"
"258","258","Ochai Agbaji","Toronto Raptors",4114200,"G"
"259","259","Kobe Bufkin","Atlanta Hawks",4094280,"G"
"260","260","Payton Pritchard","Boston Celtics",4037278,"PG"
"261","261","Seth Curry","Charlotte Hornets",4e+06,"SG"
"262","262","Troy Brown Jr.","Detroit Pistons",4e+06,"SF"
"263","263","Dwight Powell","Dallas Mavericks",4e+06,"C"
"264","264","Moses Moody","Golden State Warriors",3918480,"SG"
"265","265","Mark Williams","Charlotte Hornets",3908160,"C"
"266","266","Jaden McDaniels","Minnesota Timberwolves",3901399,"PF"
"267","267","Keyonte George","Utah Jazz",3889800,"G"
"268","268","Malachi Flynn","Detroit Pistons",3873025,"PG"
"269","269","Desmond Bane","Memphis Grizzlies",3845083,"SG"
"270","270","Kevin Love","Miami Heat",3835738,"PF"
"271","271","Russell Westbrook","LA Clippers",3835738,"PG"
"272","272","Corey Kispert","Washington Wizards",3722040,"SF"
"273","273","AJ Griffin","Atlanta Hawks",3712920,"F"
"274","274","Jalen Hood-Schifino","Los Angeles Lakers",3695040,"G"
"275","275","Amir Coffey","LA Clippers",3666667,"SG"
"276","276","Alperen Sengun","Houston Rockets",3536280,"C"
"277","277","Tari Eason","Houston Rockets",3527160,"F"
"278","278","Jaime Jaquez Jr.","Miami Heat",3510600,"G"
"279","279","Mike Muscala","Oklahoma City Thunder",3500000,"C"
"280","280","Andre Drummond","Chicago Bulls",3360000,"C"
"281","281","Trey Murphy III","New Orleans Pelicans",3359280,"SG"
"282","282","Brandin Podziemski","Golden State Warriors",3352440,"G"
"283","283","Dalen Terry","Chicago Bulls",3350760,"F"
"284","284","Cam Whitmore","Houston Rockets",3218160,"F"
"285","285","Jake LaRavia","Memphis Grizzlies",3199920,"F"
"286","286","Derrick Rose","Memphis Grizzlies",3196448,"PG"
"287","287","Eric Gordon","Phoenix Suns",3196448,"SG"
"288","288","Tre Mann","Charlotte Hornets",3191280,"PG"
"289","289","Noah Clowney","Brooklyn Nets",3089520,"F"
"290","290","Malaki Branham","San Antonio Spurs",3071880,"G"
"291","291","Simone Fontecchio","Detroit Pistons",3044872,"F"
"292","292","Jordan Nwora","Toronto Raptors",3e+06,"SF"
"293","293","Julian Champagnie","San Antonio Spurs",3e+06,"F"
"294","294","Dante Exum","Dallas Mavericks",3e+06,"G"
"295","295","Dariq Whitehead","Brooklyn Nets",2966040,"F"
"296","296","Christian Braun","Denver Nuggets",2949120,"G"
"297","297","Jalen Johnson","Atlanta Hawks",2925360,"SF"
"298","298","Josh Richardson","Miami Heat",2891467,"SG"
"299","299","Kris Murray","Portland Trail Blazers",2847480,"F"
"300","300","Walker Kessler","Utah Jazz",2831160,"C"
"301","301","Josh Okogie","Phoenix Suns",2815937,"SF"
"302","302","Keon Johnson","Brooklyn Nets",2808720,"G"
"303","303","Omer Yurtseven","Utah Jazz",2800000,"C"
"304","304","Kyle Lowry","Philadelphia 76ers",2795839,"PG"
"305","305","Olivier-Maxence Prosper","Dallas Mavericks",2733360,"F"
"306","306","David Roddy","Phoenix Suns",2718240,"F"
"307","307","Christian Wood","Los Angeles Lakers",2709849,"F"
"308","308","Isaiah Jackson","Indiana Pacers",2696280,"SF"
"309","309","Marcus Sasser","Detroit Pistons",2623680,"G"
"310","310","MarJon Beauchamp","Milwaukee Bucks",2609400,"F"
"311","311","Charles Bassey","San Antonio Spurs",2600000,"C"
"312","312","Kris Dunn","Utah Jazz",2586665,"G"
"313","313","Damian Jones","Cleveland Cavaliers",2586665,"C"
"314","314","Bruno Fernando","Atlanta Hawks",2581522,"PF"
"315","315","Willy Hernangomez","New Orleans Pelicans",2559942,"C"
